종목,코드,산업,F_korean,체력_12점,ModF,FAR,FAR_신호,Sloan,Mom12,BAB,NOA,Echo,Echo값_%,r_mom12_%,r_1m_%,β_60d,체력_최종,등급,신규,순위,권장비중_%
ISC,095340,반도체,8.11,10.81,2,2,FAR_BUY,0,2,0,0,1,69.41,219.46,-22.73,0.806,17.81,S+,True,1,8.33
SK하이닉스,000660,반도체,7.28,9.71,3,2,FAR_BUY,1,2,-2,0,1,88.12,760.27,-25.62,1.509,16.71,S+,False,2,8.33
두산에너빌리티,034020,원전,7.5,10.0,2,2,FAR_BUY,0,1,1,0,0,27.44,41.36,-19.21,0.674,16.0,S+,True,3,8.33
삼성물산,028260,종합상사,7.28,9.71,3,2,FAR_BUY,0,2,-1,0,0,43.06,155.76,-25.23,1.261,15.71,S+,True,4,8.33
한미반도체,042700,반도체,7.15,9.53,3,2,FAR_BUY,0,2,-1,0,0,24.21,164.62,-20.0,1.307,15.53,S+,False,5,8.33
한화에어로,012450,방산,7.53,10.04,1,2,FAR_BUY,0,0,2,0,0,12.66,25.79,-12.43,0.337,15.04,S+,False,6,8.33
알테오젠,196170,바이오,7.53,10.04,3,2,FAR_BUY,-1,-1,1,0,0,-0.68,-25.84,-17.5,0.563,14.04,S+,False,7,8.33
삼양식품,003230,식품,8.17,10.89,3,0,,0,-1,2,0,-1,-16.33,-28.44,0.45,0.001,13.89,S,True,8,8.33
삼성전자,005930,반도체,6.21,8.28,2,1,FAR_WEAK_BUY,0,2,-1,0,1,67.41,408.2,-20.7,1.266,13.28,S,False,9,8.33
NH투자증권,005940,금융,8.17,10.89,2,0,,0,0,1,0,-1,-7.51,28.92,4.35,0.569,12.89,S,True,10,8.33
NAVER,035420,인터넷,5.63,7.51,3,0,,0,-1,2,0,0,-4.94,-21.97,10.33,0.334,11.51,A,False,11,8.33
KT&G,033780,필수소비재,5.56,7.41,0,0,,0,0,2,0,0,4.84,27.29,6.52,0.001,9.41,A,False,12,8.33
아모레퍼시픽,090430,화장품,6.46,8.61,0,0,,-1,-1,2,0,-1,-7.61,-29.58,21.43,0.135,7.61,B,False,13,0.0
삼성SDI,006400,2차전지,3.22,4.29,1,0,,-2,2,1,0,1,68.9,175.4,-4.5,0.673,7.29,B,False,14,0.0
KB금융,105560,금융,3.42,4.56,0,-1,FUR_WEAK,0,1,2,0,0,6.48,31.59,16.14,0.218,6.56,B,False,15,0.0
기아,000270,자동차,3.95,5.27,0,-1,FUR_WEAK,0,1,1,0,0,23.02,37.26,7.85,0.57,6.27,B,False,16,0.0
카카오,035720,인터넷,2.99,3.99,0,-2,FAR_AVOID,0,-2,2,0,0,-0.67,-43.67,9.26,0.314,1.99,D,False,17,0.0
LIG넥스원,079550,방산,2.13,2.84,-3,0,,0,1,1,0,-1,-32.11,36.89,-10.68,0.437,0.84,D,False,18,0.0
